step,actor_loss,critic_loss,rewards,,,,
240,-1.717306852,1.34528327,340.484,,,,
480,-2.076993465,1.264076829,316.966,,,,
720,-2.396638155,1.275913715,316.966,,,,
960,-2.70285511,1.256882071,316.966,,,,
1200,-3.126699924,1.255793571,316.966,,,,
1440,-3.46633625,1.225947022,316.966,,,,
1680,-3.828763485,1.211672187,316.966,,,,
1920,-4.218151093,1.235564232,316.966,,,,
2160,-4.520629883,1.219929576,316.966,,,,
2400,-4.893811226,1.229421139,316.966,,,,
2640,-5.2716012,1.218215108,316.966,,,,
2880,-5.583914757,1.215361238,316.966,,,,
3120,-5.895885468,1.220096111,316.966,,,,
3360,-6.196823597,1.19766736,316.966,,,,
3600,-6.473945141,1.207629442,316.966,,,,
3840,-6.654443264,1.221120238,316.966,,,,
4080,-6.943942547,1.212322593,316.966,,,,
4320,-7.19806242,1.159134984,316.966,,,,
4560,-7.488712788,1.162856936,316.966,,,,
4800,-7.948943138,1.178833723,-9.426,,,,
5040,-8.706196785,1.159662366,-56.602,,,,
5280,-9.449991226,1.163192391,-56.432,,,,
5520,-10.45470238,1.179954648,-25.494,,,,
5760,-11.14926624,1.220995069,-14.572,,,,
6000,-11.9564476,1.198370337,-24.314,,,,
6240,-12.74542427,1.232737899,-61.24,,,,
6480,-13.47264481,1.223292232,-86.758,,,,
6720,-14.22929382,1.268320322,-3.894,,,,
6960,-15.00735664,1.252991557,53.924,,,,
7200,-15.77726173,1.313418269,34.614,,,,
7440,-16.5514164,1.28085351,32.954,,,,
7680,-17.41564178,1.29179585,-54.36,,,,
7920,-18.22836685,1.328410268,45.254,,,,
8160,-19.02242661,1.337598443,-16.638,,,,
8400,-19.90429497,1.291580439,-0.22,,,,
8640,-20.5763607,1.355551362,-45.816,,,,
8880,-21.35618973,1.361908078,165.88,,,,
9120,-22.1397171,1.349059343,140.832,,,,
9360,-22.97759247,1.353768229,168.278,,,,
9600,-23.66700363,1.442943573,158.304,,,,
9840,-24.47237206,1.392010093,166.96,,,,
10080,-25.29146385,1.402546644,166.896,,,,
10320,-26.09685516,1.417277813,166.256,,,,
10560,-26.91854095,1.440331459,182.728,,,,
10800,-27.62848473,1.465784431,189.386,,,,
11040,-28.38553238,1.463659286,170.078,,,,
11280,-29.18415451,1.497354031,167.132,,,,
11520,-29.96670532,1.503945351,165.14,,,,
11760,-30.79203415,1.526527762,120.776,,,,
12000,-31.5285778,1.52061069,120.606,,,,
12240,-32.3212738,1.526883721,134.168,,,,
12480,-33.09013748,1.498963356,159.824,,,,
12720,-33.84409332,1.535612345,164.548,,,,
12960,-34.61557388,1.505560756,172.124,,,,
13200,-35.39268112,1.530489564,120.776,,,,
13440,-36.16518784,1.53596735,169.128,,,,
13680,-37.07099915,1.558333874,213.9,,,,
13920,-37.75273132,1.520861387,243.014,,,,
14160,-38.48409271,1.518940091,23.236,,,,
14400,-39.15310287,1.549792409,15.486,,,,
14640,-39.88792419,1.487333179,133.926,,,,
14880,-40.63683701,1.569427609,64.46,,,,
15120,-41.26024628,1.556537509,99.354,,,,
15360,-41.88316345,1.478339434,22.53,,,,
15600,-42.6199646,1.534297228,21.786,,,,
15840,-43.34998322,1.542641997,273.942,,,,
16080,-44.08688354,1.522451282,95.274,,,,
16320,-44.64886856,1.515984416,32.158,,,,
16560,-45.20130539,1.462034345,159.752,,,,
16800,-45.89939499,1.470080614,95.302,,,,
17040,-46.54792404,1.48277545,48.038,,,,
17280,-47.23318863,1.51653564,48.038,,,,
17520,-47.94600677,1.478466749,48.038,,,,
17760,-48.57674026,1.486427784,48.378,,,,
18000,-49.17402649,1.475069404,48.038,,,,
18240,-49.77577209,1.498937011,-17.634,,,,
18480,-50.40000916,1.497089744,-18.642,,,,
18720,-50.91067886,1.521008372,32.72,,,,
